Meal,Main Recipe,Side 1,Side 2,Output Filename,Layout,Reference Status,Approval Status,Visual Audit,Dimensions,WebP Quality
045,SG-014 — Chicken Legs,SD-016 — Dirty Rice,SD-033 — Cabbage,meal-045.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
046,SG-015 — Chicken Wings,SD-043 — Waffle Fries,,meal-046.webp,One-side,Clear,APPROVED,PASS,1448x1086,88
047,SG-016 — Chicken Quarters,SD-002 — Cornbread Stuffing,SD-004 — Green Beans,meal-047.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
048,IT-001 — Chicken Alfredo,SD-005 — Broccoli,SD-030 — Roasted Asparagus,meal-048.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
049,IT-002 — Chicken Parmesan,SD-020 — Spaghetti Noodles,SD-021 — Italian Vegetables,meal-049.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
050,IT-003 — Chicken Marsala,SD-018 — Rice Pilaf,SD-030 — Roasted Asparagus,meal-050.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
051,IT-004 — Chicken Piccata,SD-006 — Garlic Parmesan Pasta,SD-036 — Roasted Zucchini,meal-051.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
052,IT-005 — Tuscan Chicken,SD-018 — Rice Pilaf,SD-005 — Broccoli,meal-052.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
053,IT-006 — Creamy Garlic Chicken Pasta,SD-005 — Broccoli,SD-030 — Roasted Asparagus,meal-053.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
054,IT-007 — Italian Baked Chicken,SD-037 — Roasted Red Potatoes,SD-021 — Italian Vegetables,meal-054.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
055,IT-008 — Chicken Cacciatore,SD-020 — Spaghetti Noodles,SD-036 — Roasted Zucchini,meal-055.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
056,IT-009 — Chicken Florentine,SD-018 — Rice Pilaf,SD-025 — Glazed Carrots,meal-056.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
057,IT-010 — Chicken Scampi,SD-006 — Garlic Parmesan Pasta,SD-005 — Broccoli,meal-057.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
058,IT-011 — Spaghetti & Meatballs,SD-021 — Italian Vegetables,SD-030 — Roasted Asparagus,meal-058.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
059,IT-012 — Baked Ziti with Italian Sausage,SD-005 — Broccoli,SD-036 — Roasted Zucchini,meal-059.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
060,IT-013 — Lasagna,SD-021 — Italian Vegetables,SD-030 — Roasted Asparagus,meal-060.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
061,IT-014 — Italian Meatloaf,SD-003 — Mashed Potatoes,SD-036 — Roasted Zucchini,meal-061.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
062,IT-015 — Beef Ragu,SD-020 — Spaghetti Noodles,SD-021 — Italian Vegetables,meal-062.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
063,IT-017 — Sausage & Peppers,SD-037 — Roasted Red Potatoes,SD-036 — Roasted Zucchini,meal-063.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
064,IT-018 — Stuffed Shells with Meat Sauce,SD-005 — Broccoli,SD-030 — Roasted Asparagus,meal-064.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
065,IT-019 — Manicotti with Meat Sauce,SD-021 — Italian Vegetables,SD-036 — Roasted Zucchini,meal-065.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
066,IT-020 — Italian Meatballs,SD-020 — Spaghetti Noodles,SD-005 — Broccoli,meal-066.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
067,IT-021 — Fettuccine Alfredo,SD-005 — Broccoli,SD-030 — Roasted Asparagus,meal-067.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
068,IT-030 — Eggplant Parmesan,SD-020 — Spaghetti Noodles,SD-021 — Italian Vegetables,meal-068.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
069,MX-001 — Beef Enchilada Bake,SD-049 — Cilantro Lime Rice,SD-019 — Refried Beans,meal-069.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
070,MX-002 — Chicken Enchilada Bake,SD-015 — Spanish Rice,MX-017 — Corn Maque Choux,meal-070.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
071,MX-006 — Beef Enchiladas,SD-049 — Cilantro Lime Rice,SD-019 — Refried Beans,meal-071.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
072,MX-007 — Chicken Enchiladas,SD-015 — Spanish Rice,MX-015 — Black Beans,meal-072.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
073,MX-008 — Tacos,SD-049 — Cilantro Lime Rice,MX-016 — Pinto Beans,meal-073.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
074,MX-009 — Burritos,SD-015 — Spanish Rice,SD-019 — Refried Beans,meal-074.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
075,MX-010 — Quesadillas,MX-017 — Corn Maque Choux,MX-015 — Black Beans,meal-075.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
