recipe_code,recipe_title,layout
AM-001,Salisbury Steak,standard
AM-002,Beef Tips,two-thirds
AM-003,Country Fried Steak,standard
AM-004,Hamburger Steak & Onions,standard
AM-005,Meatballs,full-tray
AM-006,Meatballs: Italian,standard
AM-007,Meatloaf,standard
AM-008,Texas Chili,two-thirds
AM-009,Chili with Beans,two-thirds
AM-010,Chicken Fried Chicken,standard
AM-011,Smothered Chicken,standard
AM-012,Baked Ham Steak,standard
AM-013,Brown Sugar Glazed Ham,standard
AM-014,Pot Roast,two-thirds
AM-015,Beef Stew,two-thirds
AM-016,Swiss Steak,standard
AM-018,Meatloaf with Tomato Glaze,standard
AM-020,Beef Stroganoff,full-tray
AM-037,Baked Chicken Breast,standard
AM-041,BBQ Chicken,standard
AM-053,Ham Steak with Pineapple,standard
AS-005,Black Pepper Beef,standard
IT-011,Spaghetti & Meatballs,full-tray
MX-006,Beef Enchiladas,standard
SF-001,Baked Coconut Shrimp,standard
SD-001,Baked Beans,side
SD-003,Mashed Potatoes,side
SD-004,Green Beans,side
SD-005,Broccoli,side
SD-007,Macaroni & Cheese,side
SD-008,Whole Corn,side
SD-009,Oriental Stir-Fry,side
SD-010,Fried Rice,side
SD-012,Peas & Carrots,side
SD-025,Glazed Carrots,side
